Snapshots;10s;10s;100s;100s;1000s;1000s
Approach;SPARQL;D-BFS;SPARQL;D-BFS;SPARQL;D-BFS
1;75,742;409,099;780,878;627,355;java except;54,567
2;77,52;32,487;638,753;120,104;java except;807,756
3;78,032;73,258;651,098;89,23;java except;195,201
4;52,464;110,32;632,234;111,297;java except;165,211
5;53,963;5,737;645,797;10,12;java except;48,949
6;52,396;39,123;660,28;43,592;java except;93,766
7;53,231;7,797;645,967;11,985;java except;55,21
8;52,063;5,5;645,191;9,16;java except;47,77
9;53,813;60,754;652,168;64,075;java except;119,026
10;52,37;18,808;635,092;26,067;java except;71,613
Avg;60,1594;76,2883;658,7458;111,2985;java except;165,9069
Std;11,71906606;121,7716176;43,71266781;186,0376419;java except;231,2786242
