Interval;50->50;50->50;45->55;45->55;25->75;25->75;0->99;0->99
Approach;SPARQL;D-BFS;SPARQL;D-BFS;SPARQL;D-BFS;SPARQL;D-BFS
1;639,67;26,908;621,964;26,995;635,381;11,139;630,964;11,369
2;628,266;25,085;637,899;27,002;632,091;11,432;641,548;11,307
3;631,135;68,757;639,614;26,75;633,32;11,562;635,764;123,194
4;638,465;75,394;640,129;87,434;628,809;111,521;638,908;11,277
5;637,13;27,809;638,512;11,506;632,098;11,14;627,382;10,797
6;640,1;44,014;632,253;48,811;635,02;48,961;636,011;47,735
7;621,145;14,568;629,901;13,497;643,328;13,117;641,668;13,028
8;633,352;11,066;634,142;10,108;625,678;10,067;635,12;9,676
9;631,173;62,902;636,78;70,174;633,59;67,331;632,832;67,436
10;632,437;121,674;638,64;127,653;635,421;27,757;630,78;25,858
Avg;633,2873;47,8177;634,9834;44,993;633,4736;32,4027;635,0977;33,1677
Std;5,880338427;34,49030971;5,666357799;38,86347258;4,634435917;34,03368506;4,725434725;37,17059919
