city:0 train:50 city:4
city:1 train:51 city:2
city:2 train:52 city:3
city:3 train:53 city:2
city:4 train:54 city:1
city:1 abrite:55 hotel:5
city:1 abrite:56 hotel:6
city:3 abrite:57 hotel:7
city:1 abrite:58 hotel:8
city:1 abrite:59 hotel:9
city:1 abrite:60 hotel:10
city:1 abrite:61 hotel:11
city:1 abrite:62 hotel:12
city:1 abrite:63 hotel:13
city:1 abrite:64 hotel:14
city:1 abrite:65 hotel:15
city:1 abrite:66 hotel:16
city:1 abrite:67 hotel:17
city:1 abrite:68 hotel:18
city:1 abrite:69 hotel:19
city:1 abrite:70 hotel:20
city:1 abrite:71 hotel:21
city:1 abrite:72 hotel:22
city:3 abrite:73 hotel:23
city:1 abrite:74 hotel:24
city:1 abrite:75 hotel:25
city:1 abrite:76 hotel:26
city:1 abrite:77 hotel:27
city:2 abrite:78 hotel:28
city:3 abrite:79 hotel:29
city:1 abrite:80 hotel:30
city:1 abrite:81 hotel:31
city:1 abrite:82 hotel:32
city:1 abrite:83 hotel:33
city:1 abrite:84 hotel:34
city:3 abrite:85 hotel:35
city:1 abrite:86 hotel:36
city:1 abrite:87 hotel:37
city:1 abrite:88 hotel:38
city:3 abrite:89 hotel:39
city:1 abrite:90 hotel:40
city:1 abrite:91 hotel:41
city:1 abrite:92 hotel:42
city:3 abrite:93 hotel:43
city:1 abrite:94 hotel:44
city:3 abrite:95 hotel:45
city:1 abrite:96 hotel:46
city:3 abrite:97 hotel:47
city:3 abrite:98 hotel:48
city:1 abrite:99 hotel:49
